47907,20060729,2006,1100,Saturday,Not Intersection,Injury (Severe),Cloudy,Dry,Daylight,Not Stated or Unknown (Hit and Run)
47908,20060802,2006,1758,Wednesday,Not Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
47940,20060803,2006,900,Thursday,Not Intersection,Injury (Other Visible),Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
47953,20060730,2006,2022,Sunday,Not Intersection,Injury (Severe),Clear,Dry,Daylight,Bicycle
47960,20060713,2006,1713,Thursday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
47971,20060731,2006,1059,Monday,Not Intersection,Injury (Complaint of Pain),Clear,Dry,Daylight,Bicycle
47982,20060811,2006,1439,Friday,Intersection,Injury (Complaint of Pain),Clear,Dry,Daylight,Not Stated or Unknown (Hit and Run)
47983,20060818,2006,1735,Friday,Intersection,Injury (Complaint of Pain),Clear,Dry,Daylight,(null)
47988,20060810,2006,935,Thursday,Intersection,Injury (Complaint of Pain),Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
47990,20060719,2006,953,Wednesday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
47995,20060817,2006,946,Thursday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
48014,20060810,2006,944,Thursday,Not Intersection,Injury (Other Visible),Clear,Dry,Daylight,Not Stated or Unknown (Hit and Run)
48030,20060816,2006,1622,Wednesday,Not Intersection,Injury (Other Visible),Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
48046,20060812,2006,2115,Saturday,Not Intersection,Injury (Complaint of Pain),Clear,Dry,Dark - Street Lights,(null)
48058,20060809,2006,200,Wednesday,Intersection,Injury (Other Visible),Clear,Dry,Dark - Street Lights,Bicycle
48070,20060808,2006,1605,Tuesday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
48102,20060605,2006,1100,Monday,Not Intersection,Injury (Other Visible),Cloudy,Dry,Daylight,(null)
48132,20060808,2006,1525,Tuesday,Intersection,PDO,Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
48151,20060706,2006,742,Thursday,Not Intersection,Injury (Complaint of Pain),Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
48155,20060605,2006,1223,Monday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Passenger Car Station Wagon or Jeep
48175,20060913,2006,2217,Wednesday,Intersection,Injury (Other Visible),Clear,Dry,Dark - Street Lights,Bicycle
48179,20060914,2006,853,Thursday,Intersection,Injury (Other Visible),Cloudy,Dry,Daylight,Not Stated or Unknown (Hit and Run)
48181,20060913,2006,1107,Wednesday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
48194,20060914,2006,1630,Thursday,Not Intersection,Injury (Complaint of Pain),Clear,Dry,Daylight,Bicycle
48195,20060914,2006,845,Thursday,Intersection,Injury (Other Visible),Cloudy,Dry,Daylight,Passenger Car Station Wagon or Jeep
48198,20060914,2006,1110,Thursday,Intersection,Injury (Other Visible),Cloudy,Dry,Daylight,Bicycle
48200,20060915,2006,1754,Friday,Not Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
48201,20060914,2006,730,Thursday,Not Intersection,Injury (Other Visible),Cloudy,Dry,Daylight,Passenger Car Station Wagon or Jeep
48219,20060916,2006,1426,Saturday,Not Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
48224,20060915,2006,1216,Friday,Intersection,Injury (Other Visible),Clear,Dry,Daylight,Bicycle
